season,cccaa_season,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,TB,HBP,SH,SF,XBH,HDP,GO,FO,GO/FO,BA,OBP,SLG,OPS,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2012,2011-12,129147,109579,17471.0,29923.0,5149.0,820.0,771.0,15202.0,3905.0,1543.0,11317.0,18311.0,39025,4277.0,2660.0,1314.0,6740,2470.0,30993.0,29086.0,1.066,0.273,0.352,0.418,0.77,0.318,0.373,0.006,0.142,0.088,0.054,0.618
2013,2012-13,127417,108416,16854.0,29382.0,4734.0,831.0,534.0,14520.0,3819.0,1427.0,10799.0,17753.0,37380,4319.0,2653.0,1230.0,6099,2410.0,31785.0,28678.0,1.108,0.271,0.349,0.401,0.75,0.316,0.371,0.004,0.139,0.085,0.054,0.608
2014,2013-14,128575,108965,16533.0,29129.0,4575.0,710.0,564.0,14239.0,4329.0,1501.0,11469.0,18309.0,36815,4203.0,2700.0,1238.0,5849,2142.0,31232.0,29087.0,1.074,0.267,0.348,0.392,0.74,0.313,0.361,0.004,0.142,0.089,0.053,0.626
2015,2014-15,132863,113336,17569.0,31442.0,4942.0,811.0,619.0,15299.0,4027.0,1639.0,11563.0,18097.0,39863,3863.0,2748.0,1353.0,6372,2382.0,32439.0,30218.0,1.073,0.277,0.353,0.408,0.7609999999999999,0.321,0.366,0.005,0.136,0.087,0.049,0.639
2016,2015-16,133476,113256,18908.0,31585.0,5582.0,913.0,1041.0,16297.0,3646.0,1450.0,12175.0,19471.0,42116,4085.0,2640.0,1320.0,7536,2559.0,32173.0,27606.0,1.165,0.279,0.358,0.438,0.796,0.325,0.382,0.008,0.146,0.091,0.055,0.625
2017,2016-17,146129,123366,21210.0,34051.0,6181.0,928.0,1359.0,18312.0,4175.0,1595.0,14307.0,22608.0,46165,4568.0,2487.0,1401.0,8468,2552.0,33750.0,32135.0,1.05,0.276,0.362,0.443,0.8049999999999999,0.324,0.385,0.009,0.155,0.098,0.057,0.633
2018,2017-18,146750,123192,22475.0,34674.0,6261.0,998.0,1530.0,19536.0,4234.0,1513.0,14837.0,23230.0,47521,4970.0,2252.0,1499.0,8789,2439.0,31763.0,32169.0,0.987,0.281,0.371,0.457,0.8280000000000001,0.332,0.396,0.01,0.158,0.101,0.057,0.639
2019,2018-19,145364,121381,22452.0,33647.0,6237.0,965.0,1469.0,19504.0,4539.0,1486.0,15369.0,24507.0,46221,4916.0,2163.0,1535.0,8671,2390.0,30335.0,31689.0,0.957,0.277,0.371,0.452,0.823,0.332,0.4,0.01,0.169,0.106,0.063,0.627
2020,2019-20,74821,62329,11549.0,17129.0,3245.0,568.0,643.0,9880.0,2603.0,763.0,7955.0,12771.0,23439,2715.0,1038.0,784.0,4456,1175.0,14992.0,16139.0,0.929,0.275,0.372,0.448,0.8200000000000001,0.332,0.402,0.009,0.171,0.106,0.065,0.623
2021,2020-21,44737,37294,7773.0,10653.0,2173.0,343.0,631.0,6736.0,1572.0,450.0,4855.0,8307.0,15405,1658.0,438.0,492.0,3147,636.0,8527.0,9287.0,0.918,0.286,0.384,0.497,0.881,0.347,0.432,0.014,0.186,0.109,0.077,0.584
2022,2021-22,148830,124267,25039.0,35808.0,6802.0,1195.0,2000.0,21915.0,5173.0,1415.0,15517.0,25614.0,50998,5560.0,1760.0,1726.0,9997,2109.0,29840.0,31802.0,0.938,0.288,0.382,0.491,0.873,0.344,0.42,0.013,0.172,0.104,0.068,0.606
2023,2022-23,118432,98182,19653.0,27489.0,5384.0,787.0,1578.0,17137.0,4166.0,1078.0,12971.0,20859.0,39174,4527.0,1442.0,1310.0,7749,1633.0,23442.0,24775.0,0.946,0.28,0.38,0.478,0.858,0.336,0.416,0.013,0.176,0.11,0.066,0.622
